x_webcat_code_abbr,x_webcat_code_full,usage,severity
IW_plag,Cheating and Plagiarism,Personal,5-None
IW_porn,Porn,Violation,4-Information
IW_ref,Reference,Business,5-None
IW_rest,Real Estate,Personal,5-None
IW_sci,Science and Technology,Business,5-None
IW_scty,Society and Culture,Personal,5-None
IW_shop,Shopping,Personal,5-None
IW_snet,Social Networking,Personal,3-Warning
IW_socs,Social Science,Personal,5-None
IW_sprt,Sports and Recreation,Personal,5-None
IW_srch,Search Engines and Portals,Borderline,5-None
IW_swup,Software Updates,Borderline,3-Warning
IW_sxed,Sex Ed and Abortion,Personal,5-None
IW_tat,Tattoos,Personal,5-None
IW_trad,Online Trading,Personal,5-None
IW_tran,Web Page Translation,Personal,2-Critical
IW_trns,Transportation,Personal,5-None
IW_trvl,Travel,Borderline,5-None
IW_viol,Violence,Personal,4-Information
IW_voip,Internet Telephony,Personal,3-Warning
IW_weap,Weapons,Personal,4-Information
IW_whst,Web Hosting,Personal,3-Warning
job,Job Search,Personal,3-Warning
Job,Job Search & Career Development,Personal,3-Warning
Kids,Kids Sites,Personal,5-None
kids,Safe for Kids,Personal,5-None
ling,Lingerie and Swimsuits,Personal,4-Information
lotr,Lottery and Sweepstakes,Personal,4-Information
mail,Web-based Email,Borderline,3-Warning
mdia,Streaming Media,Personal,5-None
Moto,Motor Vehicles,Personal,5-None
natr,Nature,Personal,5-None
nc,Uncategorized URLs,Unknown,3-Warning
News,News,Personal,5-None
news,News,Personal,5-None
nsn,Non-sexual Nudity,Personal,5-None
obs,Tasteless or Obscene,Personal,4-Information
osb,Online Storage and Backup,Personal,2-Critical
p2p,Peer File Transfer,Personal,2-Critical
para,Paranormal and Occult,Personal,4-Information
Peer,Peer-to-Peer,Personal,2-Critical
Pers,Personals & Dating,Personal,4-Information
Phil,Philanthropic & Professional Orgs.,Personal,5-None
Phot,Photo Searches,Personal,5-None
plag,Cheating and Plagiarism,Personal,5-None
Poli,Politics,Personal,5-None
porn,Porn,Personal,4-Information
Prox,Proxies & Translators,Personal,2-Critical
Real,Real Estate,Personal,5-None
ref,Reference,Business,5-None
Refe,Reference,Business,5-None
Reli,Religion,Personal,5-None
rest,Real Estate,Personal,5-None
Ring,Ringtones/Mobile Phone Downloads,Personal,4-Information
sci,Science and Technology,Business,5-None
scty,Society and Culture,Personal,5-None
Sear,Search Engines,Borderline,5-None
Sex,Sex Education,Personal,5-None
Shop,Shopping,Personal,5-None
shop,Shopping,Personal,5-None
snet,Social Networking,Personal,3-Warning
Soci,Society & Culture,Personal,5-None
socs,Social Science,Personal,5-None
Spor,Sports,Personal,5-None
sprt,Sports and Recreation,Personal,5-None
srch,Search Engines and Portals,Borderline,5-None
Stre,Streaming Media,Personal,5-None
Susp,Suspect/Threat URLs,Personal,1-Emergency
swup,Software Updates,Borderline,3-Warning
sxed,Sex Ed and Abortion,Personal,5-None
Tast,Tasteless & Offensive,Personal,4-Information
tat,Tattoos,Personal,5-None
trad,Online Trading,Personal,5-None
tran,Web Page Translation,Personal,2-Critical
Trav,Travel,Borderline,5-None
trns,Transportation,Personal,5-None
trvl,Travel,Borderline,5-None
Viol,Violence,Violation,4-Information
viol,Violence,Violation,4-Information
voip,Internet Telephony,Personal,3-Warning
Weap,Weapons,Personal,4-Information
weap,Weapons,Personal,4-Information
Web-,Web-based E-mail,Borderline,3-Warning
whst,Web Hosting,Personal,3-Warning
